Data Point	Pitch (Deg)	Wind speed (m/s)	Fz(L)	My(P)	Fx(D)
1	0	3.17	0.133333333	0.012	0.31
2	0	7.09	0.966666667	0.034333333	1.376666667
3	0	10.61	2.1	0.061333333	3.21
4	0	14.77	4.3	0.043	5.236666667
5	0	20.23	7	0.226	7.243333333
6	0	23.63	10.36666667	0.356333333	10.53333333
7	2	1.46	0	0.025	0.07
8	2	3.18	-0.1	0.036	0.31
9	2	6.9	0.7	0.13	1.56
10	2	10.36	2.4	0.263	3.06
11	2	14.6	4.5	0.37	4.81
12	2	19.96	7.3	0.581	7.6
13	2	23.49	11.4	0.84	11.04
14	3	3.2	-0.1	0.032	0.28
15	3	7.06	-0.4	0.079	1.54
16	3	10.85	0.7	-0.005	3.42
17	3	14.84	2.2	-0.067	6.08
18	3	20.35	10	0.656	7.02
19	3	23.65	14.8	0.978	10.12
20	6	3.13	0.35	0.0985	0.32
21	6	7.07	2.25	0.1675	1.45
22	6	10.6	6.4	0.249	3.435
23	6	14.84	12.7	0.4165	6.32
24	6	20.155	21.95	0.777	8.225
25	6	23.655	37.05	1.4565	13.245
26	12	3.03	1	0.173	0.37
27	12	7.03	5.5	0.373	1.75
28	12	10.4	13.8	0.655	4.42
29	12	14.62	25.9	1.081	8.19
30	12	20.27	42.6	1.673	13.44
31	12	23.54	63.5	2.292	20.14
32	15	3.3	0.5	0.147	0.41
33	15	7.15	3.4	0.24	1.75
34	15	10.9	8.6	0.357	4.15
35	15	14.9	15.9	0.533	7.53
36	15	20.4	25.4	0.763	11.96
37	15	23.7	36.8	1.033	17.3
38	18	3.12	0.7	-0.005	0.41
39	18	7.16	3.6	0.004	1.9
40	18	10.6	8.7	0.014	4.7
41	18	14.8	16.4	0.027	8.68
42	18	20.2	26.5	0.043	13.89
43	18	23.7	38.1	0.063	20.02
44	25	1.58	0.3	0.041	0.2
45	25	3.16	0.9	0.037	0.62
46	25	6.88	3.9	0.152	2.91
47	25	10.35	9.2	0.173	7.04
48	25	14.61	16.9	0.291	12.93
49	25	19.85	26.5	0.438	20.54
50	25	23.25	38.4	0.593	29.87
